id_persona,activ_econo,meses_alta
174454,Grupo_11,70
245154,Grupo_15,27
1211,Grupo_07,20
146154,Grupo_15,135
87697,Grupo_07,55
70484,Grupo_15,33
126871,Grupo_13,142
126354,Grupo_15,146
226524,Grupo_15,67
141241,Grupo_15,162
202467,Grupo_15,33
65024,Grupo_11,270
136384,Grupo_15,170
11407,Grupo_11,151
61884,Grupo_15,164
3897,Grupo_15,45
55607,Grupo_11,189
119107,Grupo_15,34
84111,Grupo_09,65
122107,Grupo_11,72
150324,Grupo_15,133
28054,Grupo_15,142
182307,Grupo_15,142
195811,Grupo_11,50
155471,Grupo_07,94
31807,Grupo_04,1
124024,Grupo_15,104
138997,Grupo_15,141
153907,Grupo_15,24
116397,Grupo_11,155
248971,Grupo_15,22
166411,Grupo_15,63
38071,Grupo_15,89
156737,Grupo_15,100
35067,Grupo_11,290
184567,Grupo_11,96
113284,Grupo_07,23
68784,Grupo_01,176
166624,Grupo_15,42
227354,Grupo_11,46
54167,Grupo_11,28
20137,Grupo_11,89
51597,Grupo_11,55
125054,Grupo_15,113
70684,Grupo_07,186
235854,Grupo_11,27
180671,Grupo_11,148
19854,Grupo_11,143
101054,Grupo_15,178
216097,Grupo_11,80
207411,Grupo_08,95
18211,Grupo_14,309
126284,Grupo_11,138
114807,Grupo_11,134
213054,Grupo_15,53
175707,Grupo_11,80
141267,Grupo_07,69
173941,Grupo_11,96
93841,Grupo_15,168
109337,Grupo_11,58
5307,Grupo_11,278
42797,Grupo_09,223
93111,Grupo_11,52
242311,Grupo_09,35
41897,Grupo_12,337
78484,Grupo_11,1
208007,Grupo_15,88
51584,Grupo_11,236
156854,Grupo_15,64
60111,Grupo_07,189
91911,Grupo_14,292
180437,Grupo_15,39
171271,Grupo_15,95
140567,Grupo_11,119
145184,Grupo_15,113
74437,Grupo_13,152
208441,Grupo_15,73
64841,Grupo_07,117
64807,Grupo_13,204
173297,Grupo_11,21
35254,Grupo_11,144
129654,Grupo_15,146
3707,Grupo_11,41
42711,Grupo_07,45
87141,Grupo_14,230
72237,Grupo_07,53
161641,Grupo_09,99
86441,Grupo_15,44
52024,Grupo_07,39
73184,Grupo_15,118
81297,Grupo_13,253
144224,Grupo_11,102
96167,Grupo_11,120
22807,Grupo_09,251
78271,Grupo_15,187
98307,Grupo_11,51
79667,Grupo_09,319
133084,Grupo_15,92
215137,Grupo_11,75
136371,Grupo_04,63
100024,Grupo_15,77
147511,Grupo_11,114
48584,Grupo_07,193
9024,Grupo_07,77
196711,Grupo_15,56
250554,Grupo_15,36
97267,Grupo_09,139
108637,Grupo_07,120
23897,Grupo_07,151
45907,Grupo_15,266
198867,Grupo_11,19
241297,Grupo_15,78
85141,Grupo_15,18
115707,Grupo_11,145
86171,Grupo_15,108
5824,Grupo_07,57
92554,Grupo_11,89
4207,Grupo_15,171
194724,Grupo_15,25
48771,Grupo_15,64
30697,Grupo_11,166
129371,Grupo_11,145
209554,Grupo_15,23
196971,Grupo_11,73
148037,Grupo_11,74
192784,Grupo_11,102
34611,Grupo_15,116
75807,Grupo_07,151
256097,Grupo_07,15
148941,Grupo_15,94
138197,Grupo_15,76
166471,Grupo_11,104
95737,Grupo_11,205
70084,Grupo_11,229
77854,Grupo_15,198
223707,Grupo_15,41
70154,Grupo_11,39
118597,Grupo_15,147
30541,Grupo_07,153
100507,Grupo_08,195
226067,Grupo_08,142
177637,Grupo_15,114
73771,Grupo_15,131
34271,Grupo_11,69
190067,Grupo_15,29
150137,Grupo_15,129
37007,Grupo_07,44
73667,Grupo_15,227
93597,Grupo_11,83
45637,Grupo_08,26
94097,Grupo_11,275
160811,Grupo_11,114
142941,Grupo_09,76
14497,Grupo_15,240
26207,Grupo_07,120
135824,Grupo_13,73
132771,Grupo_11,135
148471,Grupo_11,96
96341,Grupo_06,228
240724,Grupo_11,75
254684,Grupo_15,158
249167,Grupo_15,24
219171,Grupo_11,38
199354,Grupo_11,112
54611,Grupo_15,21
180411,Grupo_15,64
85941,Grupo_14,252
251007,Grupo_15,49
122154,Grupo_15,107
196371,Grupo_07,52
55111,Grupo_15,76
209354,Grupo_15,59
82197,Grupo_11,298
124671,Grupo_15,39
226054,Grupo_15,34
172524,Grupo_07,78
14754,Grupo_13,320
187524,Grupo_04,139
141067,Grupo_15,46
50811,Grupo_07,21
47224,Grupo_11,146
83107,Grupo_07,38
55371,Grupo_11,50
120541,Grupo_11,139
124954,Grupo_15,210
222854,Grupo_15,51
1907,Grupo_15,24
149441,Grupo_15,88
7541,Grupo_09,163
211254,Grupo_15,85
193697,Grupo_12,46
59067,Grupo_11,22
24737,Grupo_11,283
38471,Grupo_07,47
183197,Grupo_09,145
250567,Grupo_15,17
184297,Grupo_07,103
20667,Grupo_15,168
199367,Grupo_11,62
2807,Grupo_06,278
20124,Grupo_07,41
